순위,ISBN,상품번호,상품명,정가,판매가,YES포인트,저자,출판사,설명,할인율(%),설명길이
28,9788936434595,108422348,채식주의자,15000,13500,750,한강 저,창비,"인터내셔널 부커상, 산클레멘테 문학상 수상작
전세계가 주목한 한강의 역작을 다시 만나다 

2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설 『채식주의자』를 15년 만에 새로운 장정으로 선보인다. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한 구성과 흡인력 있는 문체로 보여주는 이 작품은 섬뜩한 아름다움의 미학을 한강만의 방식으로 완성한 역작이다. “탄탄하고 정교하며 충격적인 작품으로, 독자들의 마음에 그리고 아마도 그들의 꿈에 오래도록 머물 것이다”라는 평을 받으며 인터내셔널 부커상을 수상했던 『채식주의자』는 “미국 문학계에 파문을 일으키면서도 독자들과 공명할 것으로 보인다”(뉴욕타임스), “놀라울 정도로 아름다운 산문과 믿을 수 없을 만큼 폭력적인 내용의 조합이 충격적이다”(가디언)라는 해외서평을 받았고 2018년에는 스페인에서 산클레멘테 문학상을 받는 등 전세계에서 뜨거운 반응을 일으켰다.",10.0,480
29,9791138436687,144589932,팬텀 버스터즈 3,6000,5400,300,네오쇼코 글그림/김지혜 역,소미미디어,"이례적인 판매량!
현지 누계 60만 부 돌파!!!
지금 가장 화제인 4인조!

유령과 노래방에서 대결을 벌이고, 학생회와 다시 대치하는 등 더욱더 활발하게 활동하게 된 팬텀 버스터즈! 그러나 한편, 자키는 자신의 영감이 불러온 고민을 안고 있었다….",10.0,139
30,9788932024639,11467936,서랍에 저녁을 넣어 두었다,12000,10800,600,한강 저,문학과지성사,"2024 노벨문학상 수상 작가 한강

심해의 밤, 침묵에서 길어 올린 핏빛 언어들
상처 입은 영혼에 닿는 투명한 빛의 궤적들

한강 문학의 시적 기원!

“한강의 소설에 등장하는 수많은 그림의 실재가 궁금했던 사람들은 
이제 시집 『서랍에 저녁을 넣어 두었다』를 펼치면 된다”

1993년 계간 『문학과사회』 겨울호에 시 「서울의 겨울」 외 4편을 발표하고 이듬해 『서울신문』 신춘문예에 단편소설 「붉은 닻」이 당선되어 작품 활동을 시작한 한강이 틈틈이 쓰고 발표한 시들 중 60편을 추려 묶어 데뷔 20년 만에 펴낸 첫 시집이다.",10.0,297
31,9788925554990,15718330,스토너,16800,15120,840,존 윌리엄스 저/김승욱 역,알에이치코리아(RHK),"내셔널 북 어워드(NBA) 수상작가 존 윌리엄스의 장편소설. 2013년 영국 최대의 체인 서점인 '워터스톤' 올해의 책으로 선정된 도서이다. 1965년 미국에서 발표된 후, 오랜 시간 동안 독자들에게 잊힌 스토너는 영국, 프랑스, 독일, 네덜란드 등 유럽 출판계와 평론가, 독자들의 열렬한 반응을 이끌어내며 베스트셀러가 되었다. 50년의 시차를 가볍게 뛰어넘어, 작가 존 윌리엄스가 세상을 떠난 지 20년 만에 비로소 제대로 된 세상의 평가를 받게 된 것이다.

농부의 아들 윌리엄 스토너는 열아홉 살에 농업을 배우기 위해 대학에 진학한다. 스스로의 의지와는 상관없이 선택했던 길. 그런데, 영문학개론 수업에서 접한 셰익스피어의 일흔세 번째 소네트가 그의 인생을 온통 바꾸어놓는다. 문학을 사랑하게 된 것이다. 고향에 돌아가는 대신 대학에 남아 영문학도의 길을 택한 스토너. 

사랑하는 여인과 결혼해 가정을 이루고, 교수가 되어 교육자로서의 삶을 살아가게 된다.",10.0,483
32,9791138436908,144590159,팬텀 버스터즈 3 한정판,28000,25200,1400,네오쇼코 글그림/김지혜 역,소미미디어,"* 한정판 부록 : 아크릴 양면 증명사진 키링 4종, 홀로그램 카드 4종
도서 내 랩핑 : 초판 한정 일러스트 카드(100*150mm), 플레이리스트풍 PP카드 2종, 팬텀 버스터즈 선전 포스터 1종

-

이례적인 판매량!
현지 누계 60만 부 돌파!!!
지금 가장 화제인 4인조!

초호화 특전 구성! 시리즈 첫 한정판 발매!!

유령과 노래방에서 대결을 벌이고, 학생회와 다시 대치하는 등 더울더 활발하게 활동하게 된 팬텀 버스터즈! 그러나 한편, 자키는 자신의 영감이 
불러온 고민을 안고 있었다….",10.0,283
33,9788901294179,143876385,단 3개의 미국 ETF로 은퇴하라,19800,17820,990,김지훈(포메뽀꼬) 저,리더스북,"★ ‘싱글파이어’ 250만 조회 수 돌파 화제의 슈퍼개미
★ 네이버 경제 전문 블로거 ‘포메뽀꼬’ 첫 책
★ 실전 투자 ETF 포트폴리오 및 계좌 수익 공개

“나는 이 투자법으로 은퇴 준비를 끝내고
두 달에 한 번 해외여행을 다니는 삶에 도달했다!”

‘단 3개의 미국 ETF’로 5년 만에 자산 성장 400%
경제적 자유를 꿈꾸는 직장인을 위한 ETF 투자의 정석!

평범한 직장인 투자자이자 네이버 경제 전문 블로거로서, 유튜브 ‘싱글파이어’에 출연해 최단기간에 조회 수 250만 회를 돌파한 화제의 슈퍼개미 ‘포메뽀꼬’의 첫 책이 드디어 출간되었다. 직장 생활 틈틈이 주식을 공부하기 시작해 자산 0원에서 34억 원, 거기에 매월 400만 원의 마르지 않는 현금흐름까지 완성한 그의 투자 비결을 한 권에 담았다.

그는 복잡하고 시간이 많이 드는 투자법은 직장인에게는 맞지 않다고 말하며, “게으르게 투자하고 확실하게 부자 되는 방법”을 설명한다.",10.0,478
34,9791192372730,142972546,위버멘쉬,17800,16020,890,프리드리히 니체 저,떠오름,"우리는 종종 타인의 기대에 맞춰 살아가며, 사회가 정해놓은 틀 속에서 자신의 가치를 잃곤 한다. 그러나 니체는 단호히 말한다. ""네 안에 숨겨진 힘을 발견하고, 삶을 스스로 창조하라.""

『위버멘쉬』는 니체가 주장한 ‘초인(Ubermensch)’의 철학을 현대적으로 풀어낸 책이다. 위버멘쉬란 기존의 도덕과 사회적 관습을 그대로 따르는 대신, 자신의 의지로 새로운 가치를 창조하며 스스로의 삶을 개척하는 존재를 의미한다. 그는 외부의 기준에 흔들리지 않고, 모든 고통과 시련을 넘어 더 높은 곳을 향해 나아간다.이 책은 니체의 대표작인 『인간적인, 너무나 인간적인(Human, All Too Human)』을 기반으로, 현대를 살아가는 우리가 직면한 고민과 삶의 문제에 대한 통찰을 담았다. 단순한 철학적 개념이 아니라, 우리가 현실 속에서 어떻게 자기 자신을 극복하고 성장할 수 있는지를 조명한다.",10.0,446
35,9791194591924,144689492,대통령 윤석열 탄핵 사건 선고 결정문,3900,3510,190,헌법재판소 저,더휴먼,"‘대통령 탄핵 사건 선고 결정문’ 전문과 ‘대한민국헌법’을 함께 읽는다!

도서출판 더휴먼은 앞서 헌법 전문을 실은 〈대한민국헌법〉을 출간하였으며, 헌법이 유린되고 민주주의 가치가 훼손되는 사건들 속에서 많은 독자의 관심을 받았다. 이에 헌법재판소의 대통령 탄핵 결정에 맞춰 ‘대통령 윤석열 탄핵 사건 선고 결정문’ 전문을 기존의 〈대한민국헌법〉과 함께 묶어 〈대통령 윤석열 탄핵 사건 선고 결정문〉이라는 하나의 책으로 만들었다.",10.0,240
36,9791158365226,144077061,"네 꿈을 응원해, 권투 장갑!",15000,13500,750,유설화 글그림,책읽는곰,"모두 다르고 모두 특별한 우리 아이들 이야기
유설화 작가의 〈장갑 초등학교〉 시리즈 신작!
“무엇이든 될 수 있는 너희들의 꿈을 응원해!”

장갑 초등학교 아이들이 만들기 숙제를 발표하는 시간이다. 발명가를 꿈꾸는 목장갑이 타임머신을 만들었다며 자랑하는데, 갑자기 천둥번개가 치더니 전기가 나가 버린다. 선생님이 무슨 일인지 알아보러 나간 사이에, 말썽꾸러기 쌍둥이 장갑이 그새를 못 참고 타임머신 단추를 꾹 누른다. 그 순간 교실 벽에 커다란 구멍이 생기더니 아이들을 빨아들인다. 목장갑의 타임머신이 진짜로 작동을 한 것이다.",10.0,295
37,9791138928144,140231250,"2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",19500,17550,970,최태성 저,이투스북 ,"『2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)』는 2024년 72회 시험부터 2023년 63회 시험까지 최신 기출문제 10회분, 총 500문항으로 구성되었다. '기출 BOOK'은 실제 시험지를 그대로 구현하여 실전과 같은 문제풀이가 가능하며, '해설 BOOK'은 모든 선택지의 자세한 해설뿐만 아니라 기출 선택지와 핵심 내용도 수록하여 중요 개념을 반복적으로 학습할 수 있어 한 권으로 기출문제 풀이뿐만 아니라 개념까지 다질 수 있다.

※ 제시된 이미지는 책의 뒷표지입니다. 『2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)』의 앞표지는 사랑의 열매 기부에 함께 해주신 최태성 1, 2TV 별님들로 구성하였습니다.",10.0,390
38,9788954677158,97255028,긴긴밤,12500,11250,620,"루리 글,그림",문학동네,"제21회 문학동네어린이문학상 대상 수상작 『긴긴밤』
세상에 마지막 하나 남은 흰바위코뿔소와 
코뿔소 품에서 태어난 어린 펭귄.
그땐 기적인 줄 몰랐다, 머리부터 발끝까지 모든 것이 다른 우리에게 서로밖에 없다는 게.

세상에 마지막 하나 남은 코뿔소가 된다면, 소중한 이를 다 잃고도 ‘마지막 하나 남은 존재’의 무게를 온 영혼으로 감당해야 한다면 어떠할까? 친구의 마지막 부탁을 들어주기 위해, 어린 생명이 마땅히 있어야 할 안전한 곳을 찾아 주기 위해 본 적도 없는 바다를 향해 가는 마음은 어떤 것일까? 

이 책은 지구상의 마지막 하나가 된 흰바위코뿔소 노든과 버려진 알에서 태어난 어린 펭귄이 수없는 긴긴밤을 함께하며, 바다를 찾아가는 이야기이다. 울퉁불퉁한 길 위에서 엉망인 발로도 다시 우뚝 일어설 수 있게 한 것은, 잠이 오지 않는 길고 컴컴한 밤을 기어이 밝힌 것은, “더러운 웅덩이에도 뜨는 별” 같은 의지이고, 사랑이고, 연대이다.",10.0,476
39,9791199040311,141253984,살아갈 날들을 위한 괴테의 시,19000,17100,950,김종원 저,퍼스트펭귄,"“헤매던 순간이 지나고, 해내는 시간이 옵니다”

‘더 잘 살고 싶다’는 조바심과 불안으로 
힘겨운 오늘을 사는 당신에게

김종원 작가가 전해주는
눈부시게 찬란하고 뭉클한 괴테의 문장들 

120만 독자의 ‘인문학 멘토’이자 
16년간 탐구한 ‘괴테 사색가’의 인생 역작

20여 년간 100권을 훌쩍 뛰어넘는 책을 집필, 120만 독자로부터 큰 사랑을 받고 있는 김종원 작가는 청년 시절부터 독일의 대문호 괴테를 애정하고 존경해왔고 무려 16년 동안 괴테의 책을 수백, 수천 번 탐독하며 성장해온 인문학 전문가다. 『살아갈 날들을 위한 괴테의 시』는 그런 그가, ‘더 잘 살고 싶다’는 조바심과 불안으로 힘겨운 오늘을 사는 이들에게 전해주는 뭉클한 괴테의 조언이자 응원가와도 같은 책이다.",10.0,386
40,9791198854315,133809700,퓨처 셀프 30만 부 기념 스페셜 에디션,22000,19800,1100,벤저민 하디 저/최은아 역,상상스퀘어,"2023년 국내 3대 서점 종합 베스트셀러! 
2024년 상반기 베스트셀러 TOP10!
30만 부 기념 저자의 한국어판 서문, 보너스 스토리 수록

현재와 미래를 더 가치 있게 바꾸고 싶다면,
‘퓨처 셀프’와 연결하라!

2023년과 2024년 상반기에 연이어 종합 베스트셀러에 선정된 『퓨처 셀프』가 국내 30만 부 판매를 기념하여 스페셜 에디션으로 출간됐다. 스페셜 에디션에는 저자 벤저민 하디가 전하는 한국어판 특별 서문과 줌 라이브를 통해 한국 독자들과 만나 나눈 생생한 이야기를 담았다. 이 책이 출간된 이후 ‘퓨처 셀프’는 많은 사람의 삶을 변화시킨 강력한 단어가 되었다. 이제 우리는 ‘미래에 내가 되고 싶은 모습’을 한 단어로 ‘퓨처 셀프’라고 말한다. ‘퓨처 셀프’를 아는 사람의 삶과 모르는 사람의 삶은 극명하게 나뉘어진다.",10.0,415
41,9791130663135,141753956,부모의 질문력,20000,18000,1000,김종원 저,다산북스,"“아이의 세계는 부모가 건넨 질문의 깊이만큼 넓어집니다.”

* 100만 독자의 선택! 김종원 작가의 첫 질문 자녀 교육서
* 아이의 사고력을 길러줄 100가지 인문학 질문 수록
* 전 세계 창의력 거장들을 탄생시킨 질문 교육의 힘

지난 20년 동안 120권의 책을 펴내고 매년 100회 이상 강연을 진행하며 대한민국 부모들에게 자녀 교육의 진정한 지혜를 전해온 김종원 작가는 “부모가 아이에게 건네는 수없이 많은 말이 아이의 세계를 형성하고 생각의 깊이를 창조한다”라고 강조합니다. 그중에서도 특히 ‘부모의 질문’은 독립적인 주체로 성장해 나가는 아이와의 관계에 따뜻한 오작교가 되어줌은 물론 아이의 사고력을 무한히 확장합니다.",10.0,353
42,9791192389233,138831340,마음의 기술,21000,18900,1050,"안-엘렌 클레르,뱅상 트리부 저/구영옥 역",상상스퀘어,"뇌를 이해해야 마음이 보인다
삶에 은밀히 녹아든 부정적 감정을 지우는 효과적인 뇌 사용법
구체적 사례를 통한 감정, 행동 패턴, 통제 방법 제시

『마음의 기술』은 우리를 고통스럽게 하는 행동과 생각을 수정하고 강렬한 감정을 조절하는 방법을 안내하는 책이다. 그리고 그 방법은 누구나 쉽게 이해하고 적용할 수 있는 신경과학 기초 지식을 바탕으로 한다. 정신과의사이자 신경과학박사인 안-엘렌 클레르와 심리치료사 뱅상 트리부는 뇌가 교육이 가능하며, 뇌의 기능을 이해한다면 누구라도 자신의 뇌를 교육할 수 있다고 말한다. 두 저자가 전하는 지식과 경험을 이용해 독자가 스스로 ‘내 마음의 주치의’가 되는 것이 바로 이 책의 목적이다. 이 책은 신경생물학 모델, 인지행동 모델, 수용전념치료, 마음챙김, 심리도식치료, 긍정심리학 등 정신의학에서 검증된 이론들을 다양한 심리적 문제 상황에 맞게 적용하는 법을 알려준다.",10.0,454
